pool,run,family,family_label,estimate,accepted_estimate,common_cells,historical_ci_low,historical_ci_high,ci_low,ci_high,ci_low_shift,ci_high_shift,width_ratio,ci_below_zero,bootstrap_standard_error,bootstrap_replicates,proposals,rejected,rejected_fraction,expected_rejected_fraction,trajectory_clusters,eligible_state_rows
eligible_union,primary,haar_z,Haar / Z,-0.25726645377646451,-0.25726645377646462,6,-0.29003470333235509,-0.2246502778287347,-0.28891473043739307,-0.2261435203861254,0.001119972894962018,-0.0014932425573906949,0.960033059368121,True,0.016058939804057461,50000,50000,0,0,1.1213252548714081e-13,72,143
eligible_union,primary,clifford_z,Clifford / Z,-0.40553742113551461,-0.40553742113551472,4,-0.55480987340569099,-0.25400939735317168,-0.56357654387667289,-0.23094865570775439,-0.0087666704709818966,0.023060741645417299,1.1058090483568324,True,0.085415853556629243,50000,51035,1035,0.020280199862839229,0.020480000000000054,51,64
eligible_union,primary,floquet_cartan_z,Floquet-Cartan / Z,-0.20808060376372686,-0.20808060376372689,6,-0.2355978244221745,-0.181221767265006,-0.23582109650362909,-0.18171926906788113,-0.00022327208145458965,-0.00049750180287513879,0.9949567928283598,True,0.013817206145184681,50000,50000,0,0,2.2426505097428162e-13,72,142
eligible_union,primary,haar_random_pauli,Haar / random Pauli,-0.18815607711985485,-0.18815607711985491,6,-0.22255233976764521,-0.15416104798867211,-0.21786222731482555,-0.15819382351663935,0.0046901124528196669,-0.0040327755279672417,0.87245615993074777,True,0.015242377593998588,50000,50000,0,0,1.1213252548714081e-13,72,143
eligible_union,primary,haar_weak_z_eta06,Haar / weak Z,-0.18258769451128909,-0.1825876945112892,6,-0.2037055141978629,-0.16159603230777531,-0.20417857917642704,-0.16076060745588494,-0.00047306497856414165,0.00083542485189036508,1.0310735200653827,True,0.011050103419355242,50000,50000,0,0,0,72,144
eligible_union,independent,haar_z,Haar / Z,-0.20743235710923263,-0.20743235710923261,6,-0.24749461928014371,-0.16820996989409109,-0.24630629983468028,-0.16900181638766903,0.0011883194454634372,-0.00079184649357794124,0.97502459865339686,True,0.019756582181963227,50000,50000,0,0,5.9604644775390625e-08,48,95
eligible_union,independent,clifford_z,Clifford / Z,-0.31924809729965192,-0.31924809729965198,4,-0.46591655043712699,-0.16902759403895201,-0.45723974860388344,-0.1879354168505292,0.0086768018332435415,-0.018907822811577185,0.90708773751818028,True,0.069143033419446553,50000,50862,862,0.016947819590263851,0.016996800704042858,37,45
eligible_union,independent,floquet_cartan_z,Floquet-Cartan / Z,-0.18477780051627951,-0.18477780051627951,6,-0.22525077483307701,-0.1455084338582551,-0.21999588629032241,-0.15006427910516046,0.0052548885427546044,-0.0045558452469053601,0.87696957889965088,True,0.017892230686013318,50000,50000,0,0,1.1920928955078125e-07,48,94
eligible_union,independent,haar_random_pauli,Haar / random Pauli,-0.19769180981953913,-0.1976918098195391,6,-0.23585780930354899,-0.15906964613779229,-0.23534389110701312,-0.16074642031913949,0.00051391819653587301,-0.001676774181347207,0.97147096261237298,True,0.019071829968375344,50000,50000,0,0,0,48,96
eligible_union,independent,haar_weak_z_eta06,Haar / weak Z,-0.17814102496761294,-0.178141024967613,6,-0.20693245873295429,-0.1488110522213269,-0.21336254232532165,-0.14191189161942144,-0.0064300835923673527,0.0068991606019054574,1.2293345084759133,True,0.018222854676825009,50000,50000,0,0,0,48,96
